Date,ItraxxMain,ItraxxXover,CDX_IG,SPX_Price,SPX_Volume,EuSt_Price,EuSt_Volume
2007-09-13,99.113,97.2365,98.8249,1483.95,1072704256.0,4249.0098,1108997760.0
2007-09-14,99.1969,97.5563,98.9211,1484.25,1039842688.0,4221.3398,928975488.0
2007-09-17,99.2224,97.6431,98.9021,1476.65,916738496.0,4184.6099,913363712.0
2007-09-18,99.3789,98.2878,99.2152,1519.78,1417229440.0,4264.4199,1089037312.0
2007-09-19,99.5445,99.5766,99.3191,1529.03,1390509440.0,4389.3301,1450518912.0
2007-09-20,99.6753,99.9967,99.3337,1518.75,1074374528.0,4366.1602,914646656.0
2007-09-21,99.7124,100.7494,99.3731,1525.75,1929096576.0,4370.3501,1430866176.0
2007-09-24,99.7694,100.9649,99.337,1517.74,1168713088.0,4360.6299,833380736.0
2007-09-25,99.6983,100.3796,99.2302,1517.22,1140008448.0,4328.8901,889953280.0
2007-09-26,99.722,100.5875,99.2597,1525.42,1117556608.0,4364.3999,818659968.0
2007-09-27,99.7246,100.4349,99.2231,1531.38,930486272.0,4388.98,934176448.0
2007-09-28,99.6032,99.7278,99.0953,1526.75,1046254272.0,4381.71,1018470784.0
2007-10-01,99.6279,99.8941,99.1667,1547.04,1121780992.0,4409.6499,1122009344.0
2007-10-02,99.7169,100.2658,99.2468,1546.63,980086592.0,4427.0098,1233186176.0
2007-10-03,99.7299,100.2875,99.3152,1539.6,1005870208.0,4421.5801,994384640.0
2007-10-04,99.778,100.6493,99.3385,1542.84,853065472.0,4420.3901,1059427456.0
2007-10-05,99.8281,101.0613,99.4326,1557.59,1004730624.0,4455.3101,882002624.0
2007-10-09,99.8758,101.4892,99.595,1565.15,991202624.0,4447.5801,980358336.0
2007-10-10,99.9494,101.7858,99.5767,1562.47,920109696.0,4442.6099,902247104.0
2007-10-11,100.022,102.3097,99.5298,1554.41,1265515008.0,4473.5698,1238538496.0
2007-10-12,100.0055,102.0533,99.5292,1561.8,923209792.0,4476.02,1183897472.0
2007-10-15,100.008,102.0745,99.5175,1548.71,1089732224.0,4434.98,1196848256.0
2007-10-16,99.9352,101.5006,99.3532,1538.53,1152752768.0,4420.9102,1261698688.0
2007-10-17,99.8119,101.0093,99.2857,1541.24,1319249792.0,4441.7998,1140947328.0
2007-10-18,99.7098,100.3628,99.2024,1540.08,1103594112.0,4420.3799,1163494784.0
2007-10-19,99.6135,99.7622,98.9134,1500.63,1632598784.0,4411.2598,1034839616.0
2007-10-22,99.5916,99.5558,99.026,1506.33,1150035840.0,4356.2402,1166988928.0
2007-10-23,99.7045,100.4226,99.028,1519.59,1152811136.0,4378.4199,1075508352.0
2007-10-24,99.6719,100.2054,98.9403,1515.88,1430119424.0,4357.1401,971966400.0
2007-10-25,99.6668,100.1677,98.9035,1514.41,1468950656.0,4412.1201,1369751808.0
2007-10-26,99.6505,100.0477,98.977,1535.28,1301296512.0,4440.23,1260292864.0
2007-10-29,99.6766,100.2397,98.9933,1540.98,1068044672.0,4471.46,901039872.0
2007-10-30,99.6596,100.0614,98.9007,1531.02,1010137600.0,4462.9502,983638528.0
2007-10-31,99.655,100.2575,98.9423,1549.38,1321012608.0,4489.79,893854848.0
2007-11-01,99.4968,99.5843,98.6296,1508.44,1423435776.0,4415.27,1040992384.0
2007-11-02,99.297,98.9489,98.5124,1509.65,1403031808.0,4410.0801,1245077760.0
2007-11-05,99.2908,98.9064,98.5058,1502.17,1259858176.0,4392.7998,999835392.0
2007-11-06,99.3525,99.2694,98.5979,1520.27,1305786624.0,4407.3398,1200040064.0
2007-11-07,99.2406,98.9444,98.3312,1475.62,1443490304.0,4400.3398,1225635584.0
2007-11-08,99.1564,98.4796,98.2934,1474.77,1935881344.0,4363.6001,1490492160.0
2007-11-09,98.9485,98.1168,98.2009,1453.7,1637513728.0,4297.8301,1480677120.0
2007-11-13,98.9076,98.1827,98.434,1481.05,1490377600.0,4311.98,1253560704.0
2007-11-14,99.1373,98.8509,98.4227,1470.58,1398789760.0,4338.2798,1449298688.0
2007-11-15,99.0544,98.437,98.262,1451.15,1278024576.0,4301.4399,1134511488.0
2007-11-16,98.9169,97.9512,98.218,1458.74,1553088896.0,4282.3999,1406505216.0
2007-11-19,98.8623,97.5949,98.0643,1433.27,1408429312.0,4226.7002,1172760576.0
2007-11-20,98.8139,97.8667,98.0235,1439.7,1615219968.0,4277.2402,1152610560.0
2007-11-21,98.5435,97.2755,97.9277,1416.77,1371571584.0,4195.5801,1299073920.0
2007-11-23,98.6802,98.0102,98.0978,1440.7,575273280.0,4268.5298,979053376.0
